date,AESI,AIXI,ASST,ATMC,BFRG,BMR,CVKD,GNLX,GPCR,HSAI,ICG,IZM,MLYS,NXT,SKWD,TXO
2023-05-01,0.0003865374019369483,0.00011593959789024666,0.00013659746036864817,0.0001442416978534311,0.00011603804159676656,9.624673111829907e-05,8.936154335970059e-05,0.5028721690177917,5.7912249758373946e-05,0.00011560373241081834,9.361009870190173e-05,0.49501779675483704,0.00022517119941767305,0.00014517722593154758,0.00021272872982081026,0.00017490252503193915
2023-05-02,0.00037136938772164285,0.00010679944534786046,0.00012264402175787836,0.0001311107334913686,0.00010712321090977639,8.507261372869834e-05,8.178209827747196e-05,0.43741321563720703,5.4547614126931876e-05,0.00010797419963637367,9.000793943414465e-05,0.560626208782196,0.00020702012989204377,0.00013221947301644832,0.00019292515935376287,0.00017001961532514542
2023-05-03,0.0003620033385232091,0.00010187267616856843,0.00011588756751734763,0.00012809834151994437,0.0001033335502143018,8.377165795536712e-05,7.955392356961966e-05,0.41457128524780273,5.315691669238731e-05,0.00010723982268245891,8.79483122844249e-05,0.5835235118865967,0.0001982697140192613,0.00012720588711090386,0.0001878588373074308,0.00016890994447749108
2023-05-04,0.00036674231523647904,0.00010724610183387995,0.0001194993601529859,0.0001308945065829903,0.00010342241876060143,8.656566933495924e-05,8.350057032657787e-05,0.4621129035949707,5.4138927225722e-05,0.0001080734291463159,8.833104948280379e-05,0.5359368920326233,0.00020631536608561873,0.00013262742140796036,0.00019397550204303116,0.0001689212949713692
2023-05-05,0.0003804911393672228,0.00011343328515067697,0.00012792211782652885,0.00013753875100519508,0.00010879411274800077,9.245625551557168e-05,8.790005813352764e-05,0.48592957854270935,5.6926979596028104e-05,0.00011305518273729831,9.322735422756523e-05,0.5120168328285217,0.0002172733802581206,0.0001421372580807656,0.000207196208066307,0.0001752544048940763
2023-05-08,0.0004011084383819252,0.00012153462012065575,0.0001399624889018014,0.0001464367815060541,0.00011849463044200093,0.00010061909415526316,9.377487731399015e-05,0.49928969144821167,6.169062544358894e-05,0.00012026759941363707,0.00010035240120487288,0.49851009249687195,0.00022983340022619814,0.00015467927732970566,0.00022550950234290212,0.0001859604672063142
2023-05-09,0.0004367388319224119,0.0001367027871310711,0.00015938309661578387,0.00016049548867158592,0.00013218641106504947,0.0001146670474554412,0.00010537472553551197,0.540542483329773,6.904214387759566e-05,0.00013135613698977977,0.00010933272278634831,0.4570184051990509,0.00025245643337257206,0.00017386484250891954,0.000256882281973958,0.00020052361651323736
2023-05-10,0.0004529893340077251,0.00014367367839440703,0.00016841376782394946,0.000166688856552355,0.0001364479394396767,0.0001206537417601794,0.00011075464135501534,0.5619264245033264,7.242487481562421e-05,0.0001366392389172688,0.00011465297575341538,0.43552926182746887,0.0002609363873489201,0.0001831710833357647,0.0002711901906877756,0.00020572461653500795
2023-05-11,0.00042362342355772853,0.00012603370123542845,0.00014786678366363049,0.00014926846779417247,0.00012610727571882308,0.00010693363583413884,9.729511657496914e-05,0.4851473867893219,6.677067722193897e-05,0.0001268894993700087,0.00010663087596185505,0.5125470161437988,0.0002331223658984527,0.00016112886078190058,0.00024008484615478665,0.00019390990200918168
2023-05-12,0.00044211256317794323,0.0001343671028735116,0.0001605823345016688,0.00015854673983994871,0.00013671834312845021,0.00011800196080002934,0.00010473025758983567,0.5261600613594055,7.030143751762807e-05,0.00013208021118771285,0.00010898223263211548,0.47139137983322144,0.0002494663931429386,0.0001709763309918344,0.0002605121990200132,0.00020116589439567178
2023-05-15,0.000429018895374611,0.00013272387150209397,0.00015470314247068018,0.0001546854618936777,0.00013222737470641732,0.00011445888958405703,0.00010511053551454097,0.5290313363075256,6.889787619002163e-05,0.00012956318096257746,0.00010581295646261424,0.46857866644859314,0.0002442986879032105,0.00016620477254036814,0.00025387859204784036,0.00019844491907861084
2023-05-16,0.00039703192305751145,0.00011659176379907876,0.00013369237422011793,0.00014071525947656482,0.00011980495764873922,0.00010151060268981382,9.30783644434996e-05,0.44918015599250793,6.276124622672796e-05,0.00012108153896406293,9.96506423689425e-05,0.5486520528793335,0.0002186635829275474,0.00014724447100888938,0.0002251633268315345,0.00019082856306340545
2023-05-17,0.00035992320044897497,9.714122279547155e-05,0.00011297190940240398,0.00012178721954114735,0.00010680227569537237,8.296561281895265e-05,7.645046571269631e-05,0.35685011744499207,5.420544766820967e-05,0.00010653402569005266,9.125138603849337e-05,0.641270101070404,0.00018656460451893508,0.00012306144344620407,0.00018650288984645158,0.00017364046652801335
2023-05-18,0.00029930556775070727,7.450667180819437e-05,8.496400550939143e-05,9.731727914186195e-05,8.839570364216343e-05,6.129815301392227e-05,5.802441228297539e-05,0.2294701337814331,4.4726453779730946e-05,8.700367470737547e-05,7.790172821842134e-05,0.7690242528915405,0.00014447337889578193,9.461242734687403e-05,0.00014025440032128245,0.00015286769485101104
2023-05-19,0.0002552477235440165,6.018106796545908e-05,6.705659325234592e-05,8.111620263662189e-05,7.648856262676418e-05,4.703043305198662e-05,4.635506047634408e-05,0.14514987170696259,3.8342423067661e-05,7.32879780116491e-05,6.884997856104746e-05,0.8535951972007751,0.0001156386497314088,7.598884258186445e-05,0.0001103650574805215,0.000138908188091591
2023-05-22,0.0002696302253752947,6.441698496928439e-05,7.412137347273529e-05,8.671262912685052e-05,8.063320274231955e-05,5.13286649947986e-05,4.975566116627306e-05,0.17542824149131775,3.994911821791902e-05,7.741850276943296e-05,7.159794768085703e-05,0.8232390880584717,0.00012517032155301422,8.161045116139576e-05,0.00011890952737303451,0.00014135974925011396
2023-05-23,0.0002652133407536894,6.218157795956358e-05,7.347016071435064e-05,8.474713831674308e-05,8.112775685731322e-05,5.0102389650419354e-05,4.754536712425761e-05,0.15996569395065308,3.9291029679588974e-05,7.522055966546759e-05,7.035460293991491e-05,0.838729202747345,0.00012163002247689292,7.923694647615775e-05,0.00011585007450776175,0.00013918113836552948
