date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-05-24,0.61949974,0.027583769,0.016048534,0.0033277248,0.0041043153,0.09765641,0.06527439,0.039790027,0.009379366,0.04413223,0.0021646093,0.07103883
2022-05-25,0.6195302,0.027582157,0.016042719,0.0033265618,0.004103392,0.09764912,0.06526525,0.039788112,0.009378391,0.04412902,0.002163698,0.07104139
2022-05-26,0.6195471,0.027582131,0.016049504,0.0033270873,0.004103019,0.097652085,0.06527242,0.03978291,0.009376462,0.044130098,0.0021642998,0.07101294
2022-05-27,0.6195571,0.027578656,0.016046848,0.003326541,0.0041025956,0.09765183,0.06526834,0.039781075,0.009375946,0.044125896,0.0021637436,0.07102146
2022-05-31,0.61950296,0.027581023,0.016052635,0.003328053,0.004104145,0.09766168,0.065278634,0.039786324,0.009378377,0.044130404,0.0021648225,0.0710309
2022-06-01,0.61952317,0.027582666,0.016045298,0.0033270016,0.004103586,0.09765169,0.065269165,0.03978673,0.009378759,0.04412889,0.0021640316,0.07103914
2022-06-02,0.61950684,0.027587313,0.016049188,0.003327799,0.0041042054,0.09765267,0.06527562,0.03978885,0.009379625,0.044133976,0.0021648342,0.07102918
2022-06-03,0.6195677,0.027577443,0.016047768,0.0033264903,0.0041021104,0.097651005,0.0652679,0.03977979,0.009375279,0.044125624,0.0021636845,0.07101526
2022-06-06,0.6195783,0.027578007,0.016042465,0.0033256828,0.0041017896,0.09764494,0.06526078,0.039780766,0.009375582,0.044124514,0.0021630737,0.07102409
2022-06-07,0.6195413,0.027579198,0.016041117,0.0033261834,0.0041028294,0.097648084,0.06526193,0.03978702,0.009377858,0.044126276,0.0021632786,0.071044914
2022-06-08,0.61952734,0.027583392,0.01604603,0.0033270288,0.0041035097,0.0976507,0.065269776,0.03978663,0.0093783615,0.044130314,0.002164133,0.071032785
2022-06-09,0.619504,0.027582508,0.01604556,0.0033272712,0.0041041127,0.09765466,0.06527042,0.039789796,0.009379501,0.044130277,0.00216417,0.07104782
