date,weight_market,weight_bond
2023-04-11,0.61958915,0.38041088
2023-04-12,0.6195894,0.3804106
2023-04-13,0.6195899,0.3804101
2023-04-14,0.61958855,0.3804115
2023-04-17,0.6195892,0.3804108
2023-04-18,0.61958957,0.38041046
2023-04-19,0.61958975,0.38041025
2023-04-20,0.6195901,0.3804099
2023-04-21,0.6195907,0.3804093
2023-04-24,0.61959094,0.38040906
2023-04-25,0.6195906,0.3804095
2023-04-26,0.61959183,0.3804082
2023-04-27,0.6195918,0.3804083
2023-04-28,0.61958826,0.38041177
2023-05-01,0.61958766,0.3804123
2023-05-02,0.6195894,0.38041064
2023-05-03,0.6195908,0.38040918
2023-05-04,0.61959136,0.38040867
2023-05-05,0.61959124,0.38040876
2023-05-08,0.6195882,0.38041183
2023-05-09,0.6195884,0.38041162
2023-05-10,0.61958957,0.38041043
2023-05-11,0.61958903,0.38041094
2023-05-12,0.6195894,0.3804106
2023-05-15,0.6195899,0.38041013
2023-05-16,0.6195894,0.3804107
2023-05-17,0.61959004,0.38040996
2023-05-18,0.61958855,0.3804115
2023-05-19,0.6195876,0.3804123
2023-05-22,0.61958873,0.38041133
2023-05-23,0.6195892,0.38041076
2023-05-24,0.61959034,0.3804097
2023-05-25,0.6195908,0.38040918
2023-05-26,0.619589,0.380411
2023-05-30,0.6195876,0.38041243
2023-05-31,0.61958843,0.38041154
2023-06-01,0.6195899,0.38041005
2023-06-02,0.6195891,0.38041094
2023-06-05,0.6195878,0.38041222
2023-06-06,0.6195889,0.3804111
2023-06-07,0.61958975,0.38041028
2023-06-08,0.6195904,0.38040957
2023-06-09,0.61958957,0.38041043
2023-06-12,0.6195896,0.3804104
2023-06-13,0.61958885,0.38041115
2023-06-14,0.6195888,0.38041115
2023-06-15,0.6195894,0.3804107
2023-06-16,0.61958855,0.3804115
2023-06-20,0.61958975,0.3804102
2023-06-21,0.6195907,0.3804093
2023-06-22,0.61959094,0.38040903
2023-06-23,0.6195901,0.38040987
2023-06-26,0.6195906,0.38040945
2023-06-27,0.6195909,0.38040912
2023-06-28,0.6195892,0.38041076
2023-06-29,0.6195894,0.38041064
